Name,Dissemination Area ID,"# Households in PRIZM Segment 3: Arts & Affluence, 2019","% Households in PRIZM Segment 3: Arts & Affluence, 2019","# Basics | Total Population, 2021","Households by Income (Current Year) | Median Household Income (Current Year $), 2021","% Household Population 25 to 64 Years by Educational Attainment | Household Population 25 To 64 Years | University Certificate, Diploma Or Degree At Bachelor Level Or Above, 2021","# Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","# Total Population in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population in PRIZM Segment 3: Arts & Affluence, 2019"
"DA0280, Vaughan, ON",35190280,217,100.00%,708,"$133,496.93 ",59.14%,386,100.00%,735,100.00%
"DA0281, Vaughan, ON",35190281,117,100.00%,389,"$111,579.26 ",50.49%,219,100.00%,406,100.00%
"DA0283, Vaughan, ON",35190283,393,100.00%,"1,221","$191,830.31 ",60.06%,742,100.00%,"1,335",100.00%
"DA0284, Vaughan, ON",35190284,117,100.00%,365,"$260,943.25 ",62.27%,248,100.00%,405,100.00%
"DA0285, Vaughan, ON",35190285,199,100.00%,490,"$173,723.57 ",65.15%,341,100.00%,621,100.00%
"DA0286, Vaughan, ON",35190286,234,100.00%,793,"$199,164.56 ",65.23%,436,100.00%,817,100.00%
"DA0287, Vaughan, ON",35190287,72,100.00%,253,"$197,004.70 ",52.86%,145,100.00%,261,100.00%
"DA0292, Vaughan, ON",35190292,89,100.00%,304,"$160,596.71 ",58.02%,173,100.00%,320,100.00%
"DA0293, Vaughan, ON",35190293,144,100.00%,502,"$210,727.65 ",68.64%,304,100.00%,521,100.00%
"DA0294, Vaughan, ON",35190294,167,100.00%,525,"$177,967.21 ",65.71%,305,100.00%,559,100.00%
"DA0295, Vaughan, ON",35190295,102,100.00%,322,"$167,004.72 ",57.23%,188,100.00%,363,100.00%
"DA0296, Vaughan, ON",35190296,307,100.00%,901,"$115,952.75 ",61.02%,528,100.00%,953,100.00%
"DA0300, Vaughan, ON",35190300,136,100.00%,452,"$263,385.94 ",58.33%,233,100.00%,492,100.00%
"DA0303, Vaughan, ON",35190303,161,100.00%,413,"$171,019.72 ",66.51%,244,100.00%,455,100.00%
"DA0306, Vaughan, ON",35190306,163,100.00%,538,"$265,037.01 ",75.79%,293,100.00%,550,100.00%
"DA0326, Vaughan, ON",35190326,136,100.00%,473,"$179,633.08 ",64.04%,268,100.00%,471,100.00%
"DA0334, Vaughan, ON",35190334,210,100.00%,847,"$96,081.38 ",47.71%,367,100.00%,857,100.00%
"DA0342, Vaughan, ON",35190342,390,100.00%,"1,220","$143,224.35 ",58.57%,613,100.00%,"1,258",100.00%
